Country,Years,Total_Laid_off,Ranking
USA,2020,41047,1
India,2020,9922,2
Brazil,2020,1227,3
UK,2020,1027,4
Canada,2020,1018,5
"Hong Kong",2020,700,6
"United Arabian Emirates",2020,536,7
Singapore,2020,501,8
Indonesia,2020,430,9
Germany,2020,331,10
Israel,2020,224,11
Australia,2020,96,12
Mexico,2020,90,13
Portugal,2020,80,14
Estonia,2020,63,15
Switzerland,2020,62,16
Malaysia,2020,50,17
USA,2021,6137,1
India,2021,200,2
Germany,2021,87,3
Canada,2021,45,4
Singapore,2021,21,5
USA,2022,86160,1
India,2022,5931,2
Brazil,2022,4159,3
Canada,2022,3103,4
Singapore,2022,2844,5
UK,2022,2701,6
Germany,2022,2468,7
Indonesia,2022,1731,8
Israel,2022,1593,9
Sweden,2022,1577,10
Australia,2022,755,11
"United Arabian Emirates",2022,552,12
China,2022,480,13
France,2022,443,14
Russia,2022,400,15
Kenya,2022,349,16
Denmark,2022,335,17
Senegal,2022,300,18
Austria,2022,270,19
Finland,2022,250,20
Argentina,2022,233,21
Ireland,2022,209,22
Estonia,2022,143,23
Mexico,2022,80,24
Norway,2022,70,25
Nigeria,2022,70,25
Thailand,2022,55,26
Malaysia,2022,50,27
"Hong Kong",2022,30,28
USA,2023,113370,1
Germany,2023,11962,2
Sweden,2023,10800,3
UK,2023,5986,4
India,2023,5502,5
Canada,2023,3912,6
Brazil,2023,1643,7
Australia,2023,1633,8
Israel,2023,1448,9
Singapore,2023,1069,10
"New Zealand",2023,1025,11
Kenya,2023,633,12
France,2023,457,13
Indonesia,2023,360,14
"South Korea",2023,350,15
Chile,2023,295,16
China,2023,275,17
Ireland,2023,207,18
Estonia,2023,167,19
Japan,2023,120,20
Spain,2023,89,21
Netherlands,2023,35,22
USA,2024,33667,1
Germany,2024,8080,2
Japan,2024,5000,3
India,2024,2445,4
UK,2024,2125,5
Israel,2024,1313,6
Canada,2024,473,7
Singapore,2024,316,8
Sweden,2024,280,9
"Czech Republic",2024,216,10
France,2024,140,11
Uruquay,2024,104,12
Netherlands,2024,90,13
Norway,2024,65,14
"Cayman Islands",2024,60,15
Australia,2024,60,15
Belgium,2024,50,16
