Industry,Years,Total_Laid_off,Ranking
Transportation,2020,13021,1
Finance,2020,5714,2
Food,2020,5629,3
Travel,2020,5414,4
Consumer,2020,5341,5
Retail,2020,4815,6
Fitness,2020,3022,7
HR,2020,2950,8
"Real Estate",2020,2446,9
Marketing,2020,2093,10
"Real Estate",2021,2900,1
Construction,2021,2434,2
Other,2021,315,3
Food,2021,267,4
Transportation,2021,200,5
Infrastructure,2021,160,6
Education,2021,78,7
Data,2021,70,8
Retail,2021,45,9
Marketing,2021,21,10
Consumer,2022,18305,1
Retail,2022,15838,2
Finance,2022,10663,3
Transportation,2022,9200,4
Food,2022,7866,5
"Real Estate",2022,7365,6
Healthcare,2022,7183,7
Crypto,2022,6821,8
Fitness,2022,5196,9
Infrastructure,2022,4806,10
Consumer,2023,26203,1
Retail,2023,25135,2
Other,2023,22993,3
Food,2023,15466,4
Sales,2023,9778,5
Finance,2023,9626,6
Transportation,2023,7948,7
Hardware,2023,7470,8
HR,2023,5941,9
Healthcare,2023,4271,10
Other,2024,10170,1
Retail,2024,5886,2
Infrastructure,2024,5330,3
Appliances,2024,5000,4
Finance,2024,4692,5
Consumer,2024,3210,6
Hardware,2024,3010,7
Travel,2024,2445,8
Transportation,2024,2039,9
Healthcare,2024,1834,10
